Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
45,250,0.0020,6.0,0.3,0.040,2.00,0.0064,0.100,0.01,0.35
44.5,249,0.0020,6.0,0.3,0.040,2.00,0.0064,0.100,0.01,0.35
44,248,0.0020,6.0,0.3,0.040,2.00,0.0064,0.100,0.01,0.35
43.5,247,0.0020,6.0,0.3,0.040,2.00,0.0064,0.100,0.01,0.35
43,246,0.0020,6.0,0.3,0.040,2.00,0.0064,0.100,0.01,0.35
42.5,245.5,0.0010,3.0,1.2,0.040,2.00,0.0064,0.100,0.01,0.35
42,245,0.0010,3.0,1.2,0.040,2.00,0.0064,0.100,0.01,0.35
41.5,244.5,0.0010,3.0,1.2,0.035,2.00,0.0064,0.100,0.01,0.50
41,244,0.0010,3.0,1.2,0.035,2.00,0.0064,0.100,0.01,0.50
40.5,243.5,0.0010,3.0,1.2,0.035,2.00,0.0064,0.100,0.01,0.50
40,243,0.0010,8.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
39.5,242,0.0010,8.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
39,241,0.0020,5.0,2.1,0.045,2.00,0.0064,0.100,0.01,0.50
38.5,240,0.0020,5.0,2.1,0.045,2.00,0.0064,0.100,0.01,0.50
38,239.6666667,0.0007,4.0,0.2,0.050,2.00,0.0064,0.100,0.01,0.45
37.5,239.3333333,0.0007,2.0,0.3,0.050,2.00,0.0064,0.100,0.01,0.45
37,239,0.0007,2.0,0.3,0.035,2.00,0.0064,0.100,0.01,0.35
36.5,238.6666667,0.0007,6.0,0.8,0.025,2.00,0.0064,0.100,0.01,0.45
36,238.3333333,0.0007,6.0,0.8,0.025,2.00,0.0064,0.100,0.01,0.45
35.5,238,0.0007,6.0,0.8,0.045,2.00,0.0064,0.100,0.01,0.50
35,237,0.0007,6.0,0.8,0.045,2.00,0.0064,0.100,0.01,0.50
34.5,236,0.0020,6.0,0.8,0.045,2.00,0.0064,0.100,0.01,0.50
34,232,0.0080,6.0,0.8,0.045,2.00,0.0064,0.100,0.01,0.50
33.5,231.25,0.0015,10.0,0.2,0.045,2.00,0.0064,0.100,0.01,0.50
33,230.5,0.0015,10.0,0.2,0.045,2.00,0.0064,0.100,0.01,0.50
32.5,229.75,0.0015,10.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
32,229,0.0015,12.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
31.5,228.5,0.0010,12.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
31,228,0.0010,12.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.50
30.5,227.5,0.0010,12.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.50
30,227,0.0010,12.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.40
29.5,226.5,0.0010,12.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.40
29,226,0.0010,12.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.40
28.5,224.3333333,0.0033,14.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.40
28,222.6666667,0.0033,14.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.40
27.5,221,0.0033,14.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.40
27,220,0.0033,25.0,0.5,0.040,2.00,0.0064,0.100,0.01,0.40
26.5,219.2,0.0016,14.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.40
26,218.4,0.0016,14.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
25.5,217.6,0.0016,14.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.45
25,216.8,0.0016,18.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.45
24.5,216,0.0016,18.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.45
24,215,0.0016,18.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
23.5,214.6666667,0.0007,18.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
23,214.3333333,0.0007,11.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
22.5,214,0.0007,11.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
22,213,0.0020,11.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
21.5,212,0.0020,6.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
21,211,0.0020,6.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
20.5,210,0.0020,6.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
20,209.3333333,0.0013,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
19.5,208.6666667,0.0013,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.50
19,208,0.0013,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.45
18.5,207.3333333,0.0013,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.45
18,206.6666667,0.0013,15.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.45
17.5,206,0.0013,15.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.45
17,205,0.0013,15.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.45
16.5,204.5,0.0010,5.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.45
16,204,0.0010,5.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.50
15.5,203.5,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
15,203,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
14.5,202,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
14,201,0.0020,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
13.5,200.5,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
13,200,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
12.5,199,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
12,198,0.0020,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
11.5,197.75,0.0005,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
11,197.5,0.0005,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
10.5,197.25,0.0005,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
10,197,0.0005,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
9.5,196,0.0005,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
9,195.5,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
8.5,195,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
8,194,0.0010,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
7.5,193,0.0020,5.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
