Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
riparian vegetation_h1-2_d5_OH0,249,30,0.9,8
riparian vegetation_h20-30_d1_OH0,250,30,0.9,8
riparian vegetation_h20-30_d2_OH0,251,30,0.9,8
riparian vegetation_h20-30_d2_OH1-2.5,252,30,0.9,8
riparian vegetation_h20-30_d3_OH0,253,30,0.9,8
riparian vegetation_h20-30_d3_OH0-0.5,254,30,0.9,8
riparian vegetation_h20-30_d3_OH1-2.5,255,30,0.9,8
riparian vegetation_h20-30_d3_OH3-5,256,30,0.9,8
riparian vegetation_h20-30_d4_OH0,257,30,0.9,8
riparian vegetation_h20-30_d4_OH0-0.5,258,30,0.9,8
riparian vegetation_h20-30_d4_OH1-2.5,259,30,0.9,8
riparian vegetation_h20-30_d4_OH3-5,260,30,0.9,8
riparian vegetation_h20-30_d4_OH6-8,261,30,0.9,8
riparian vegetation_h20-30_d5_OH0,262,30,0.9,8
riparian vegetation_h20-30_d5_OH0-0.5,263,30,0.9,8
riparian vegetation_h20-30_d5_OH1-2.5,264,30,0.9,8
riparian vegetation_h20-30_d5_OH3-5,265,30,0.9,8
riparian vegetation_h20-30_d5_OH6-8,266,30,0.9,8
riparian vegetation_h5-10_d1_OH0,267,30,0.9,8
riparian vegetation_h5-10_d1_OH0-0.5,268,30,0.9,8
riparian vegetation_h5-10_d1_OH1-2.5,269,30,0.9,8
riparian vegetation_h5-10_d2_OH0,270,30,0.9,8
riparian vegetation_h5-10_d2_OH0-0.5,271,30,0.9,8
riparian vegetation_h5-10_d2_OH1-2.5,272,30,0.9,8
riparian vegetation_h5-10_d3_OH0,273,30,0.9,8
riparian vegetation_h5-10_d3_OH0-0.5,274,30,0.9,8
riparian vegetation_h5-10_d3_OH1-2.5,275,30,0.9,8
riparian vegetation_h5-10_d3_OH3-5,276,30,0.9,8
riparian vegetation_h5-10_d3_OH6-8,277,30,0.9,8
riparian vegetation_h5-10_d4_OH0,278,30,0.9,8
riparian vegetation_h5-10_d4_OH0-0.5,279,30,0.9,8
riparian vegetation_h5-10_d4_OH1-2.5,280,30,0.9,8
riparian vegetation_h5-10_d4_OH3-5,281,30,0.9,8
riparian vegetation_h5-10_d5_OH0,282,30,0.9,8
riparian vegetation_h5-10_d5_OH1-2.5,283,30,0.9,8
riparian vegetation_h5-10_d5_OH3-5,284,30,0.9,8
riparian vegetation_h5-10_d5_OH6-8,285,30,0.9,8
